epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.0557,1.52412,2.49118,1.28654,0.41369,0.3815,0.32128,0.19481,1.41829,3.973,1.28178,0.0676875,0.000326389,0.000326389
2,20.4305,1.40463,1.46715,1.17136,0.60638,0.48584,0.55262,0.31129,1.43234,2.04192,1.20217,0.0346873,0.000659561,0.000659561
3,29.5641,1.35085,1.22695,1.17714,0.6881,0.54752,0.61428,0.36403,1.36148,1.93207,1.19593,0.00168653,0.000992086,0.000992086
4,38.6235,1.3594,1.13394,1.17156,0.70507,0.7352,0.75052,0.46117,1.30038,1.16288,1.16151,0.000997803,0.000997803,0.000997803
5,47.7585,1.38046,1.12999,1.16384,0.7539,0.76508,0.7848,0.46221,1.36857,1.00965,1.18057,0.000996097,0.000996097,0.000996097
6,57.037,1.34623,1.07612,1.15907,0.75006,0.73643,0.7822,0.47358,1.31438,1.00611,1.15998,0.000993906,0.000993906,0.000993906
7,66.1907,1.32544,1.05121,1.15278,0.72368,0.73814,0.79378,0.47538,1.30246,0.97436,1.15084,0.000991232,0.000991232,0.000991232
8,75.26,1.30508,1.01867,1.13429,0.75969,0.79866,0.81071,0.47124,1.31202,0.92426,1.15635,0.000988079,0.000988079,0.000988079
9,84.2705,1.31813,0.99902,1.14275,0.80714,0.81803,0.85831,0.53873,1.24253,0.81248,1.12696,0.000984449,0.000984449,0.000984449
10,93.2256,1.28547,0.93324,1.11557,0.78407,0.83714,0.86524,0.54118,1.26659,0.814,1.13394,0.000980345,0.000980345,0.000980345
11,102.295,1.26574,0.92116,1.13423,0.80143,0.86099,0.88396,0.56717,1.19463,0.74425,1.10692,0.000975773,0.000975773,0.000975773
12,111.379,1.26114,0.90704,1.11323,0.81201,0.81169,0.87716,0.55858,1.21397,0.79666,1.10994,0.000970736,0.000970736,0.000970736
13,120.45,1.26906,0.87711,1.10869,0.82849,0.83277,0.88856,0.55502,1.21797,0.73797,1.10607,0.000965239,0.000965239,0.000965239
14,129.536,1.25441,0.89001,1.12094,0.80545,0.87219,0.90131,0.57103,1.19642,0.73477,1.10279,0.000959289,0.000959289,0.000959289
15,138.726,1.26353,0.87776,1.12311,0.82556,0.86048,0.8927,0.58385,1.15029,0.77066,1.08701,0.000952889,0.000952889,0.000952889
16,147.743,1.27307,0.91935,1.12651,0.8159,0.80221,0.87029,0.56254,1.19198,0.76028,1.10316,0.000946048,0.000946048,0.000946048
17,156.732,1.2541,0.85789,1.11115,0.81355,0.84811,0.88398,0.57576,1.19413,0.75163,1.09455,0.000938772,0.000938772,0.000938772
18,165.765,1.24579,0.87294,1.10291,0.79087,0.85268,0.89491,0.59357,1.14914,0.71209,1.08697,0.000931067,0.000931067,0.000931067
19,174.888,1.22942,0.84384,1.11356,0.79976,0.81752,0.85174,0.53431,1.1873,0.80285,1.10823,0.000922942,0.000922942,0.000922942
20,183.985,1.23237,0.84356,1.09773,0.83281,0.87269,0.91535,0.59922,1.15377,0.67599,1.08162,0.000914405,0.000914405,0.000914405
21,193.029,1.2271,0.84163,1.09267,0.84649,0.85827,0.90989,0.60387,1.14635,0.68109,1.0785,0.000905463,0.000905463,0.000905463
